Part Name, Total Quantity Required, Note
LilyGo TTGO T7 v1.5 ESP32-WROVER-B + BMS, 1,
AS5600 Magnetic Encoder, 1
Hall Sensor, 1
103040 LiPo Battery 1S 1200mAh , 1,
